Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_max (Kmph),wind_speed_min (Kmph)
01-01-2020,2.883333333,17.53333333,25.80555556,68.25,95.61666667,8.477777778,0
02-01-2020,1.1,18.14444444,27.45,68.03888889,97.08888889,4.394444444,0
03-01-2020,16.78333333,16.82222222,24.91666667,79.18888889,98.81111111,5.477777778,0
04-01-2020,0.15,15.68888889,21.22777778,86.95,99.19444444,3.416666667,0
05-01-2020,0,14.96111111,24.6,71.36111111,98.97222222,3.088888889,0
06-01-2020,0,12.84444444,25.37222222,57.70555556,93.21111111,6.094444444,0
07-01-2020,0,15.51666667,28.01666667,48.58888889,93.12222222,4.583333333,0
08-01-2020,0,19.7,28.79444444,61.38333333,96.18333333,3.633333333,0
09-01-2020,3.677777778,19.97777778,29.40555556,64.13333333,97.27777778,9.394444444,0
10-01-2020,0.188888889,12.63333333,23.9,79.22777778,96.03333333,6.638888889,0
11-01-2020,0,10.72777778,24.75555556,57.3,91.87222222,6.5,0
12-01-2020,0,9.877777778,26.35,40.91666667,92.35555556,6.5625,0
13-01-2020,0,10.32222222,27.26111111,32.12222222,90.18333333,6.74375,0
14-01-2020,0,12.81111111,29.88333333,25.59444444,88.35555556,5.00625,0
15-01-2020,0,15.70555556,30.83888889,35.86666667,95.45555556,6.44375,0
16-01-2020,0,16.15,30.07777778,40.28333333,94.73333333,10.4875,0
17-01-2020,0,17.63888889,29.1,43.74444444,89.55555556,9.038888889,0
18-01-2020,0,16.93888889,28.48333333,55.41666667,94.67222222,6.327777778,0
19-01-2020,0,16.78333333,29.46111111,53.28888889,96.81111111,6.833333333,0
20-01-2020,0,15.77777778,29.96666667,52.42222222,95.42222222,6.544444444,0
21-01-2020,0,15.92777778,27.16111111,64.83888889,96.48888889,5.438888889,0
22-01-2020,0,18.08333333,30.69444444,51.26666667,96.05555556,8.183333333,0
23-01-2020,0,16.60555556,30.77222222,51.85555556,96.02222222,9.594444444,0
24-01-2020,0,16.42222222,31.85,40.35,94.47222222,5.7,0
25-01-2020,0,15.69444444,30.7,42.38888889,94.93333333,6.405555556,0
26-01-2020,0,15.42222222,31.30555556,40.71111111,91.71111111,9.161111111,0
